Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-02-22,36.864238367837,37.882903697544535,36.787356028865716,37.25825119018555,1329500,0.0,0.0,HP
2024-02-23,36.37412323416154,36.73930701851987,35.826349390599916,36.33568572998047,913900,0.0,0.0,HP
2024-02-26,36.037771827292126,37.03722024579744,35.87440235466523,36.5086669921875,1093400,0.0,0.0,HP
2024-02-27,36.78735636070505,37.440841584048854,36.56632513309636,37.085269927978516,946300,0.0,0.0,HP
2024-02-28,36.90268003780927,37.9021247963288,36.67203668371907,36.998779296875,911600,0.0,0.0,HP
2024-02-29,37.72914555818284,38.41146353767245,36.61437721988475,36.893070220947266,1765500,0.0,0.0,HP
2024-03-01,37.46006484531484,37.873298285657405,37.14293433641938,37.46967697143555,937300,0.0,0.0,HP
2024-03-04,37.42162550287617,37.594607121988794,36.88346372426104,36.96034240722656,896600,0.0,0.0,HP
2024-03-05,36.74892276003724,37.42162497379523,36.508670921994494,36.643211364746094,1209200,0.0,0.0,HP
2024-03-06,37.27747396675335,37.882905924967446,36.60476812500799,37.018001556396484,906900,0.0,0.0,HP
2024-03-07,37.017998947909476,38.27691973923758,37.017998947909476,38.09432601928711,1057000,0.0,0.0,HP
2024-03-08,38.248083223641935,38.67092870907202,37.479278249157176,37.652259826660156,736200,0.0,0.0,HP
2024-03-11,37.43123681984106,38.44029379887101,36.97956219459966,38.190433502197266,981300,0.0,0.0,HP
2024-03-12,38.07510287396418,38.228863873819535,37.52732908285752,37.709922790527344,692000,0.0,0.0,HP
2024-03-13,38.01744995134439,38.94962453566225,38.01744995134439,38.699764251708984,1457100,0.0,0.0,HP
2024-03-14,38.882352505884164,38.93040213525649,38.200038237322666,38.54600143432617,1172600,0.0,0.0,HP
2024-03-15,38.4210749339579,39.24754187422536,38.4210749339579,38.56522750854492,3822200,0.0,0.0,HP
2024-03-18,38.680541694592876,39.02650489009058,38.4210692979696,38.63249206542969,1104400,0.0,0.0,HP
2024-03-19,38.6517133523555,39.7760900921945,38.57483101153653,39.74726104736328,1061000,0.0,0.0,HP
2024-03-20,39.37247167723698,39.99712424524413,38.90157647019746,39.73765182495117,1373000,0.0,0.0,HP
2024-03-21,39.92984939242765,40.30464162293895,39.737647214589344,39.94906997680664,946000,0.0,0.0,HP
2024-03-22,40.00673438873044,40.24698621050719,39.61272154765465,39.670379638671875,745700,0.0,0.0,HP
2024-03-25,39.78570403138437,40.85241906423483,39.60311029659177,40.47762680053711,769500,0.0,0.0,HP
2024-03-26,40.62178047920332,40.813982679340924,39.5838907980315,39.73765182495117,878400,0.0,0.0,HP
2024-03-27,39.9010216062902,40.65060609093548,39.9010216062902,40.583335876464844,812600,0.0,0.0,HP
2024-03-28,40.80436836507829,41.083061357036335,40.33347684924062,40.41996765136719,670700,0.0,0.0,HP
2024-04-01,40.6698266759202,40.6698266759202,39.82413926635133,40.583335876464844,817600,0.0,0.0,HP
2024-04-02,40.88124769674185,41.10227891568733,40.13165957819679,41.00617599487305,1084800,0.0,0.0,HP
2024-04-03,41.13110877026132,41.90952594742905,41.12150031096616,41.67888259887695,795700,0.0,0.0,HP
2024-04-04,41.81342755693718,41.85186873018783,41.169554401772956,41.332923889160156,807500,0.0,0.0,HP
2024-04-05,41.32331206814133,42.23626969586038,40.99656945398772,42.17860794067383,945800,0.0,0.0,HP
2024-04-08,42.284320526643405,42.39003191451231,41.44824521542402,41.57317352294922,1274800,0.0,0.0,HP
2024-04-09,41.74615254561515,41.97679589269662,40.94851845494299,41.4098014831543,863200,0.0,0.0,HP
2024-04-10,41.08305904477142,41.66927404108533,40.54489367672305,41.32331085205078,1183100,0.0,0.0,HP
2024-04-11,41.3329246609839,41.3329246609839,40.16049818256225,40.76593017578125,987600,0.0,0.0,HP
2024-04-12,41.21760231670701,41.71732655027232,39.776091373482735,40.16049575805664,1012600,0.0,0.0,HP
2024-04-15,40.583339695364096,40.813983070932544,39.79531396659602,40.006736755371094,858500,0.0,0.0,HP
2024-04-16,39.71843402188442,39.88180350550302,38.94962523841435,39.593502044677734,811500,0.0,0.0,HP
2024-04-17,39.50700886738722,40.08361175441204,39.07455486914273,39.257144927978516,857800,0.0,0.0,HP
2024-04-18,39.45896283438426,40.14127716827703,39.07455843069567,39.56467056274414,1193600,0.0,0.0,HP
2024-04-19,39.41090261934989,40.53528291998434,39.33402395167269,40.32386016845703,862700,0.0,0.0,HP
2024-04-22,40.00673409026985,40.5160667755322,39.324416135390734,39.62232971191406,1772400,0.0,0.0,HP
2024-04-23,39.41090569091869,41.01578970395769,39.0745546199578,40.66982650756836,1333300,0.0,0.0,HP
2024-04-24,40.189324367757024,40.91969195733247,39.85297328436825,40.77553939819336,1888700,0.0,0.0,HP
2024-04-25,38.35380356416446,39.401301732470664,37.4888954743879,38.863136291503906,2511000,0.0,0.0,HP
2024-04-26,38.843911594673855,39.593499748490316,38.47873147625101,38.81508255004883,1246500,0.0,0.0,HP
2024-04-29,38.94001580710734,39.27636689202268,38.18081916863914,39.22831726074219,891500,0.0,0.0,HP
2024-04-30,38.84391162877573,38.98806418393092,37.68109372582327,37.796417236328125,1158800,0.0,0.0,HP
2024-05-01,37.76758708821108,37.76758708821108,36.354908815219765,36.720088958740234,1106400,0.0,0.0,HP
2024-05-02,36.893069732341445,37.13332155780962,36.23958447379184,36.35490798950195,1370500,0.0,0.0,HP
2024-05-03,36.73930447605737,36.9891683986777,36.2972420479771,36.969947814941406,1091800,0.0,0.0,HP
2024-05-06,37.1237148003609,37.777200088880356,36.90268355070757,36.95073318481445,806100,0.0,0.0,HP
